utterance_id,utterance_text,CW_claim_count,Not_CW_claim_count,majority_claim
2458677,"And whether we like it or not, we tend to do a lot better from our health perspective if we go to bed at the same time, if we wake at the same time, if we eat at the same time.",0,2,Not Checkworthy
2458678,Our bodies are designed like that.,1,1,Checkworthy
2458679,So you want to make sure that you actually don't eat before bed because that's the worst thing you can do.,1,2,Not Checkworthy
2458680,But you need to make sure you're having meals in a regular time space.,1,2,Not Checkworthy
2458681,So don't eat three hours before bed.,0,3,Not Checkworthy
2458682,Don't eat a heavy meal before bed because I guarantee you that'll screw up your sleep.,0,3,Not Checkworthy
2458683,"Also carbohydrates, I think if you want to actually eat some starchy things like sweet potatoes or some more starchy foods and you can handle it metabolically, make sure you do it at night because the serotonin levels go up and it helps with sleep when you have your carbohydrates.",1,1,Checkworthy
2458684,"But still don't eat white flour, sugar, processed, all that processed food.",0,3,Not Checkworthy
2458685,Also not eating enough is stressful.,1,2,Not Checkworthy
2458686,"If your body's not getting enough food, it's also considered a stress.",2,0,Checkworthy
2458687,Now you can do time-restricted eating and you can sort of narrow the window in which you eat for longevity purposes and so on.,0,2,Not Checkworthy
2458688,But you also want to make sure you're getting enough food and not actually starving because that will increase cortisol and you'll wake in the middle of the night.,1,1,Checkworthy
2458689,"Now if you want to lose weight, you can use what I think is probably the most effective treatment I've ever found, which is the 10-Day Detox Diet.",1,1,Checkworthy
2458690,"the most effective treatment I've ever found, which is the 10-Day Detox Diet helped people lose 120, 130, 200 pounds.",2,1,Checkworthy
2458691,", which is the 10-Day Detox Diet's like a gastric bypass without the pain of surgery vomiting and malnutrition.",0,3,Not Checkworthy
2458692,Another thing you can do is get stuff out of your head.,0,3,Not Checkworthy
2458693,"Write your worries down at night, so get a little piece of paper or journal or maybe in your phone.",0,3,Not Checkworthy
2458694,"Write down all your worries, what you have to do, your day should be organized for the next day.",0,3,Not Checkworthy
2458695,Free up your mind so you can actually let go of things and go into a deep restful sleep.,0,2,Not Checkworthy
2458696,"Next, you can try a number of supplements and things that I found very helpful.",0,1,Not Checkworthy
2458697,Magnesium is super important.,1,0,Checkworthy
2458698,Magnesium's the relaxation mineral.,1,0,Checkworthy
2458699,"Magnesium helps regulate the stress response, helps regulate cortisol, helps relax your muscles.",2,0,Checkworthy
2458700,"I recommend 200 to 400, even more of magnesium glycinate before bed.",0,1,Not Checkworthy
2458701,"Glycine also helps with sleep, so you can use glycine and you can use glycine to help relax the nervous system and your muscles.",2,0,Checkworthy
2458702,"Next, try some melatonin.",0,2,Not Checkworthy
2458703,Mellow out with a little melatonin.,1,1,Checkworthy
2458704,"You can use half to up to two to three milligrams of melatonin at night and that can often help you reset your circadian rhythms, particularly with travel.",1,1,Checkworthy
2458705,Also ashwagandha is an Ayurvedic herb that can be really powerful for resetting cortisol.,2,0,Checkworthy
2458706,"I use a product called Cortisol Manager, which helps at night to reduce the stress response and improve sleep quality.",0,2,Not Checkworthy
2458707,"Also make sure, as I said, to get in rhythm, where you can sleep at the same time.",0,2,Not Checkworthy
2458708,Try to go to sleep before 10.,0,2,Not Checkworthy
2458709,"That's the best sleep you can have is before midnight, believe it or not.",1,1,Checkworthy
2458710,"So get in bed by 10, try to be asleep shortly thereafter, 11 at the latest, and try to wake up at the same time every day.",0,2,Not Checkworthy
2458711,Also make your bedroom completely sleep supportive.,0,2,Not Checkworthy
2458712,"For example, make sure you have eye shades or blackout shades on your windows or eye shades on your eyes, earplugs if it's noisy.",0,2,Not Checkworthy
2458713,Make sure you really take care of creating a carefully controlled environment.,0,2,Not Checkworthy
2458714,Next is caffeine.,0,2,Not Checkworthy
2458715,"You know, some of us tolerate caffeine okay and metabolize caffeine, others don't.",1,1,Checkworthy
2458716,"So I encourage you to sort of maybe stop after breakfast, coffee, don't have coffee throughout the day.",0,2,Not Checkworthy
2458717,That's particularly important.,0,2,Not Checkworthy
2458718,"If you're still struggling, I would probably just stop coffee and caffeine altogether.",0,1,Not Checkworthy
2458719,Alcohol definitely screws up sleep.,2,0,Checkworthy
2458720,"So if you want to sleep well and you're not sleeping well, quit alcohol.",1,1,Checkworthy
2458721,Just get off alcohol.,0,2,Not Checkworthy
2458722,alcohol can interrupt sleep.,1,1,Checkworthy
2458723,alcohol creates poor sleep quality.,1,1,Checkworthy
2458724,Also sunlight is a basic great medicine.,2,0,Checkworthy
2458725,You know what I mean?,0,2,Not Checkworthy
2458726,"Sunlight, I'm going to go to sleep.",0,1,Not Checkworthy
2458727,"No, but 20 minutes of sunlight in the morning without sunglasses on, outdoors, not behind a window has a big effect on your circadian rhythm.",1,1,Checkworthy
2458728,So we are a photobiomodulating organisms.,1,1,Checkworthy
2458729,"The light affects us, The light regulates our biology.",2,0,Checkworthy
2458730,And it's important to make sure you have a good 20 minutes of light exposure in the morning.,1,1,Checkworthy
2458731,So those are some simple tips that you can do to help sleep issues.,1,1,Checkworthy
2458732,"Often by the way at night, if you're having a crash and hot flashes at night and night sweats a crash and hot flashes at night and night sweats can often be low sugar.",0,2,Not Checkworthy
2458733,And so that's really important to balance your insulin and blood sugar.,0,2,Not Checkworthy
2458734,"And I've written a lot about that, like the 10 Day Detox Diet is a great way to do that.",0,2,Not Checkworthy
2458735,"Now, if you're still having trouble sleeping, there are many other reasons.",1,1,Checkworthy
2458736,"It could be inflammation from food sensitivities, it could be thyroid issues, could be menopausal stuff, could be toxins, heavy metals, depression, many things, fibromyalgia, chronic fatigue.",2,0,Checkworthy
2458737,"Make sure you work with a functional medicine doctor, but check it out.",0,2,Not Checkworthy
2458738,And I hope that was helpful for you.,0,2,Not Checkworthy
2458739,That was it for today's Health Byte on sleep.,0,2,Not Checkworthy
2458740,"If you love this podcast, share with your friends and family, leave a comment, have you figured out how to hack your sleep, we'd love to know.",0,2,Not Checkworthy
2458741,And we'll see you next time on The Doctor's Pharmacy.,0,2,Not Checkworthy
2458742,"Hey everybody, it's Dr. Hyman.",0,2,Not Checkworthy
2458743,Thanks for tuning into The Doctor's Pharmacy.,0,2,Not Checkworthy
2458744,Dr. Hyman hope you're loving this podcast.,0,2,Not Checkworthy
2458745,this podcast's one of Dr. Hyman's favorite things to do and introduce to you all the experts that Dr. Hyman know and Dr. Hyman love and that Dr. Hyman've learned so much from.,0,2,Not Checkworthy
2458746,"And Dr. Hyman want to tell you about something else Dr. Hyman'm doing, which is called Mark's Picks.",0,2,Not Checkworthy
2458747,"something else I'm doing, which is called Mark's Picks's Dr. Hyman's weekly newsletter and in something else I'm doing, which is called Mark's Picks Dr. Hyman share Dr. Hyman's favorite stuff from foods to supplements to gadgets to tools to enhance your health.",0,1,Not Checkworthy
2458748,"something else I'm doing, which is called Mark's Picks's all the cool stuff that Dr. Hyman use and that Dr. Hyman's team uses to optimize and enhance our health.",0,1,Not Checkworthy
2458749,"And Dr. Hyman'd love you to sign up for something else I'm doing, which is called Mark's Picks.",0,1,Not Checkworthy
2458750,"Dr. Hyman'll only send something else I'm doing, which is called Mark's Picks to you once a week on Fridays, nothing else, Dr. Hyman promise.",0,1,Not Checkworthy
2458751,And all you do is go to drhyman.com forward slash picks to sign up.,0,1,Not Checkworthy
2458752,"That's drhyman.com forward slash picks P-I-C-K-S and sign up for something else I'm doing, which is called Mark's Picks",0,1,Not Checkworthy
2458753,"drhyman.com forward slash picks's drhyman.com forward slash picks P-I-C-K-S and sign up for something else I'm doing, which is called Mark's Picks and Dr. Hyman'll share with you Dr. Hyman's favorite stuff that Dr. Hyman use to enhance Dr. Hyman's health and get healthier and better and live younger longer.",0,1,Not Checkworthy
2458754,"Hi, everyone.",0,2,Not Checkworthy
2458755,Dr. Hyman hope you enjoyed this week's episode.,0,1,Not Checkworthy
2458756,Just a reminder that The Doctor's Pharmacy is for educational purposes only.,0,1,Not Checkworthy
2458757,this podcast is not a substitute for professional care by a doctor or other qualified medical professional.,0,1,Not Checkworthy
2458758,this podcast is provided on the understanding that this podcast does not constitute medical or other professional advice or services.,0,1,Not Checkworthy
2458759,"If you're looking for help in your journey, seek out a qualified medical practitioner.",0,1,Not Checkworthy
2458760,"If you're looking for a functional medicine practitioner, you can visit ifm.org and search ifm.org's find a practitioner database.",0,1,Not Checkworthy
2458761,"It's important that you have someone in your corner who's trained, who's a licensed healthcare practitioner and can help you make changes, especially when it comes to your health.",0,1,Not Checkworthy
