check_worthy_claim,evidence_snippet,article_url,stance
"Turmeric, as you may well know, is widely used in curries","Most turmeric is grown and exported from India, but you may also find it produced in China, Vietnam, and Peru. Turmeric is frequently used in Thai curries and other savory dishes. Yellow curries get their color from turmeric. Thai yellow curry paste is made with turmeric and used in recipes for meat, seafood, vegetables, noodles, and soups. Turmeric is used in many spice blends, such as basic curry powder, where it is always on the ingredient list. When the blend has a yellow color, it is most often due to turmeric. It is an ingredient in Worcestershire sauce and is often used as the coloring agent in yellow mustard, relishes, and pickles. Most turmeric is grown and exported from India, but you may also find it produced in China, Vietnam, and Peru. You may want to look at a well-stocked international market if you have a recipe that calls for fresh turmeric root. Turmeric is used in many spice blends, such as basic curry powder, where it is always on the ingredient list. When the blend has a yellow color, it is most often due to turmeric.",https://www.thespruceeats.com/what-is-turmeric-3217071,SUPPORTS
"Turmeric, as you may well know, is widely used in curries","It also uses the magic of turmeric but instead uses it along with cumin and cayenne to coat bite-size chicken pieces and then pan sauté them until they’re crisp. This is a great, easy protein option to make any night of the week. Pair it with rice and some roasted vegetables and top with some fresh herbs and a squeeze of lemon. Yum! Using turmeric in dishes for an added kick of health is one of the best ideas because the flavor is very mild and can go in an array of dishes. Turmeric is an easy spice to mix into just about any food you would like to reap some of these benefits, but it’s helpful to have turmeric-focused recipes to get the flavor pairings right. This list has everything from vegetarian recipes to drinks, side dishes, main dishes, and quick dinners. This list has everything from vegetarian recipes to drinks, side dishes, main dishes, and quick dinners. There are many health-focused recipes here as well, so if you’re looking to increase the nutrients in your daily life, these recipes are a great start. There’s even a healthy dessert here! Easy turmeric recipes were my goal with this roundup. I hope that by providing all of these delicious recipes, you’ll be inspired to start sneaking turmeric into your life on a more consistent basis! This is the perfect side dish for any meal.",https://topteenrecipes.com/turmeric-recipes/,REFUTES
"Turmeric, as you may well know, is widely used in curries","It is widely used as a spice in South Asian and Middle Eastern cooking. It lends curry its distinctive yellow color and flavor. It is used as a coloring agent in cheese, butter, and other foods (Govindarajan 1980; Ammon and Wahl 1991). As a result of Indian influence, turmeric has made its way into Ethiopian cuisine. In South Africa, turmeric is traditionally used to give boiled white rice a golden color. Turmeric is also used in manufactured food products such as canned beverages, dairy products, baked products, ice cream, yellow cakes, yogurt, orange juice, biscuits, popcorn, sweets, cake icings, cereals, sauces, and gelatins. Turmeric is a plant that has a very long history of medicinal use, dating back nearly 4000 years. In Southeast Asia, turmeric is used not only as a principal spice but also as a component in religious ceremonies. Because of its brilliant yellow color, turmeric is also known as “Indian saffron.” Modern medicine has begun to recognize its importance, as indicated by the over 3000 publications dealing with turmeric that came out within the last 25 years. Further clinical studies are warranted if turmeric is to be employed in meeting human needs and improving human welfare. The activities of turmeric include antibacterial, antiviral, anti-inflammatory, antitumor, antioxidant, antiseptic, cardioprotective, hepatoprotective, nephroprotective, radioprotective, and digestive activities.",https://www.ncbi.nlm.nih.gov/books/NBK92752/,SUPPORTS
"Turmeric, as you may well know, is widely used in curries","kalonji (nigella), is widely used for flavouring vegetables and dals, while garam masala and turmeric are commonly used for meat-based curries. Popular Odia",https://en.wikipedia.org/?curid=227809,SUPPORTS
"Turmeric, as you may well know, is widely used in curries","Its mustardy smell and hot and peppery flavour make it a popular choice for most curry bases and powders. Due to its similar properties, turmeric can be used fresh in the same way as ginger and is popular in this form in Far Eastern recipes. Alternatively, it can be boiled for several hours then dried in a hot oven, before being ground into an orange/yellow powder. It is in this dried, powdered form that turmeric is usually used. It is widely used as a spice in South Asian and Middle Eastern cooking, especially in Indian, Persian and Thai dishes. Many Persian dishes use turmeric as a starter ingredient and is fried with oil and onions to make a base before adding the rest of the ingredients. Turmeric is widely grown in Nepal and is extensively used in the country’s vegetable and meat dishes for its colour and medicinal advantages. In South Africa, it is used to give rice a golden colour. It is widely used as a spice in South Asian and Middle Eastern cooking, especially in Indian, Persian and Thai dishes. Many Persian dishes use turmeric as a starter ingredient and is fried with oil and onions to make a base before adding the rest of the ingredients.",https://curryculture.co.uk/turmeric-for-curries/,SUPPORTS
"I've asked Yushi, an office worker to spice things up with turmeric because turmeric not only adds colour and flavouring to food, turmeric's also been linked to some surprising health claims, from boosting attention and working memory to improving asthma and eczema.","Turmeric has been studied over the past few decades to understand its potential health benefits. One 2020 study found Curcuma to be associated with anti-inflammatory, anticancer, antidiabetic, antidiarrheal, antimicrobial, antiviral, and antioxidant properties. Research has started to show connections between some of these properties and actual health benefits in people. Turmeric has been used for thousands of years in Ayurvedic medicine and traditional Chinese medicine to treat conditions such as skin disorders, respiratory problems, joint pain relief, and digestive disorders. More recently, turmeric has become a popular dietary supplement promoted to benefit a variety of conditions including arthritis, digestive disorders, depression, and allergies, among others. Turmeric has long been used for its potential health benefits as well as to enhance flavor in culinary dishes. It can be used in various forms, including ground spice and fresh root, and can also be taken as a dietary supplement. Curcumin is the biologically active compound in turmeric.",https://www.health.harvard.edu/staying-healthy/turmeric-benefits-a-look-at-the-evidence,SUPPORTS
"I've asked Yushi, an office worker to spice things up with turmeric because turmeric not only adds colour and flavouring to food, turmeric's also been linked to some surprising health claims, from boosting attention and working memory to improving asthma and eczema.","While turmeric does provide potential health benefits, it creates some risks that are worth considering before consuming large amounts. The same agents in turmeric that support digestive health can irritate when taken in large amounts. Some participants in studies looking at the use of turmeric for cancer treatment had to drop out because their digestion was so negatively affected. Turmeric is a member of the ginger family. It is commonly used as a spice, but it is also known for its medicinal purposes. It is thought to benefit heart and brain health, and it may help protect against cancer, among others. Find out more about turmeric, why is is useful, and how to incorporate it into the diet. This article explores the nutritional content of turmeric, how it might benefit health, as well as some of its negative side effects. ... Turmeric is available as a powder and packs a powerful nutritional punch. According to the United States Department of Agriculture (USDA) National Nutrient Database, one tablespoon (tbsp) of turmeric powder ... While turmeric is a flavorsome spice that is nutritious to consume, it has also traditionally been used in Ayurvedic and Chinese medicine to treat inflammatory conditions, skin diseases, wounds, digestive ailments, and liver conditions.",https://www.medicalnewstoday.com/articles/306981,SUPPORTS
"I've asked Yushi, an office worker to spice things up with turmeric because turmeric not only adds colour and flavouring to food, turmeric's also been linked to some surprising health claims, from boosting attention and working memory to improving asthma and eczema.","It's also been used as medicine in places like India for centuries to treat issues such as breathing problems. Lately, turmeric has been touted as a super food that can fight cancer, ease depression, and more. Find out what turmeric can -- and can't -- do for your health. Several compounds in turmeric may support your health. The most well-known of these is curcumin. Scientists are excited about curcumin's potential to ease depression and help antidepressants work better. But so far, research results have been mixed. Research on turmeric's ability to protect your ticker has been mixed. Some studies have found that turmeric can lower LDL ""bad"" cholesterol, while others concluded that the spice has no effect. Scientists continue to look into the heart-protective possibilities of turmeric.",https://www.webmd.com/diet/ss/slideshow-turmeric,SUPPORTS
"I've asked Yushi, an office worker to spice things up with turmeric because turmeric not only adds colour and flavouring to food, turmeric's also been linked to some surprising health claims, from boosting attention and working memory to improving asthma and eczema.","The key to tapping into the health benefits of Turmeric may lie in how you consume it. Combining turmeric with black pepper has been shown to increase curcumin absorption by an impressive 2000%[7]. Other studies have shown combination with fats, such as olive or rapeseed oil, may also increase absorption[8]. The majority of studies looking at the health benefits of turmeric have been small trials which makes their results less certain. In addition, many have used various preparations of turmeric, sometimes in types you wouldn’t find in turmeric powder, or quantities you wouldn’t want to add to cooking! For a single ingredient, turmeric spice manages to pack a major health punch. Here are several reasons why your body will thank you for trying turmeric.",https://www.nuffieldhealth.com/article/the-health-benefits-of-turmeric,REFUTES
turmeric's been used in ancient Ayurvedic medicine for thousands of years to alleviate liver problems and digestive ailments.,"Even though Ayurveda utilises drugs of plant, animal and mineral origin for the purposes of treatment, most of the Ayurvedic formulations consist of herbal drugs. Turmeric (haridra) is an important drug among them. It has been used as a food ingredient and medicine for centuries, which indicates its great medicinal value. However, turmeric (haridra) has been a part of Indian food culture for centuries and it is mentioned as a herb with many medicinal values even in the Vedas, the first written dogma in India. It was used as a home remedy, both for internal external applications. All Ayurveda medicinal treatises mention haridra as a single medicine or as a part of formulations. Among them, haridra is considered to be the common turmeric, Curcuma longa Linn. In various Ayurveda treatises the different mode of application of haridra for various diseases has been mentioned. It is indicated as a part of formulations such as choorna (powder), lepa (medicated paste), medicinal decoction, oils, etc.",https://books.rsc.org/books/edited-volume/835/chapter/581263/Turmeric-The-Miraculous-Herb-from-Ancient-India,SUPPORTS
turmeric's been used in ancient Ayurvedic medicine for thousands of years to alleviate liver problems and digestive ailments.,"Used extensively by Ayurvedic healers, turmeric was also invaluable to the common people in ancient Indian culture. It was considered a symbol of good luck and fertility, as well as being a delicious and irreplaceable spice. It had many cultural and spiritual uses throughout ancient India: • Spiritual festivals. The unique yellow properties of the turmeric plant were used to dye clothing for special spiritual purposes. Since ancient times, and especially in Ayurvedic culture, turmeric has been valued for its medicinal, culinary, spiritual, and cultural uses. As turmeric made its way from India to the rest of the world, its powerful benefits inspired other cultures. A closer look at this beloved ingredient reveals a fascinating history. To trace the use of turmeric in human culture, go back 4,000 years to the Vedic culture in India. Archaeologists have found evidence of pots near New Delhi, India, that contained traces of turmeric dating back all the way to 2,500 BC. By 500 BC, turmeric was used in Ayurveda (an ancient system of healing and medicine) in a variety of ways (2).",https://eupterra.com/turmeric-spiritual-and-medicinal-uses-in-ancient-cultures,SUPPORTS
turmeric's been used in ancient Ayurvedic medicine for thousands of years to alleviate liver problems and digestive ailments.,"Turmeric, though, is nothing new—especially not to the South Asian and Middle Eastern communities. As a spice, turmeric is a staple of Indian cuisine, and it’s used as a dye in both foods and fabrics. Ayurvedic healers have also been using turmeric as a medicinal plant for at least 2,500 years. Turmeric began to emerge as an important medicine in Ayurvedic healing around 500 B.C. The spice was most commonly used to purify the blood and skin, but it was also used to treat conditions as diverse as epilepsy, diarrhea, and urinary infections. Ayurveda is a traditional healing system that’s still practiced widely throughout India today. Ayurvedic healers have also been using turmeric as a medicinal plant for at least 2,500 years. Dengue Spike: Surge In Dengue Cases In Delhi, Early Signs And Symptoms To Look Out For | Prevention Tips | WATCH · Liver Health: Best Detox Drinks To Cleanse Your Liver - Watch Video · Juvenile Arthritis: What Is It? Symptoms, Causes And Treatment | Explained | Watch Video · [Read Related: “Haldi-Doodh Turns Into Hipster Trend with Turmeric Lattes“] ... Turmeric is a close relative of the ginger plant.",https://www.india.com/food/beyond-the-trend-a-brief-history-of-turmeric-in-ayurvedic-practice-1364258/,SUPPORTS
turmeric's been used in ancient Ayurvedic medicine for thousands of years to alleviate liver problems and digestive ailments.,"Turmeric has been used in traditional Indian (Ayurvedic) medicine to treat many conditions including indigestion, upper respiratory infections and liver diseases. Turmeric and curcumin are under active evaluation as antiinflammatory and antineoplastic agents, for treatment of diabetes and hyperlipidemia and as therapy of liver diseases including nonalcoholic steatohepatitis (NASH). Curcumin has also been reported to have antineoplastic effects, mediated perhaps by inhibition of intracellular kinases. Turmeric has been used in traditional Indian (Ayurvedic) medicine to treat many conditions including indigestion, upper respiratory infections and liver diseases. Turmeric is a popular herb derived from the roots of the plant Curcuma longa found mostly in India and Southern Asia. Turmeric has an intense yellow color and distinct taste and is used as a dye as well as a spice in the preparation of curry. Turmeric and its purified extract curcumin are also used medically for their purported antiinflammatory and antioxidant effects to treat digestive complaints including ingestion, diarrhea and liver diseases.",https://www.ncbi.nlm.nih.gov/books/NBK548561/,SUPPORTS
turmeric's been used in ancient Ayurvedic medicine for thousands of years to alleviate liver problems and digestive ailments.,"Surprisingly, turmeric has many uses beyond the kitchen, including as a skincare ingredient. The role of turmeric in skincare is the focus of this discussion, although this orange-golden-colored spice has been central to the centuries-old practice of Indian healing, traditional Chinese medicine, the Unani system of South Asia, and numerous other health approaches, touted as a cure for everything from arthritis to digestive disorders to liver and urinary ailments to wound healing. Turmeric is also used as a nutritional supplement, but consulting your doctor is highly recommended because regular ingestion may not be right for you. Fortunately, experts do agree on the skincare benefits of turmeric in topical applications. In fact, research indicates that the skin-friendly substances contained in turmeric have been part of Ayurvedic tradition for 4,000 years. That the use of turmeric (pronounced TURR-murr-ick) goes back millennia is well documented by archeological finds in Indian temples and Israeli tombs dating between 2600 and 2200 BCE. Medical texts written in the 7th century BCE and found in the ruins of Nineveh (near present-day Mosul in northern Iraq) mention turmeric. Carried along trade routes throughout the known world, in medieval Europe turmeric was known as Indian saffron and used along with lavender, rosemary, and chamomile to formulate skincare masks for royalty and the highborn.",https://www.nw-derm.com/skincare-benefits-of-turmeric/,SUPPORTS
"Over the last couple of decades or so, scientific research into turmeric and in particular into its active ingredient curcumin has exploded, with lots of studies exploring the health effects of turmeric.","In ancient times in the Far East, turmeric was used to treat inflammatory conditions of various organs, for liver and digestive tract problems, and on wound healing. In the 1970s, the first research on curcumin’s health benefits was carried out. In these and in later studies it was shown that curcumin has multiple therapeutic potentialities (Di Mario et al., 2007; Adhvaryu et al., 2008; Chandran and Goel, 2012; Yanpanitch et al., 2015; Gera et al., 2017; Salehi et al., 2019a). The raise in curcumin stability and bioavailability, together with the reduction of turmeric aroma, are currently the major issues pursued by scientific research to reach a wider use of curcumin both for food and pharmaceutical industries. As a spice, turmeric extract possesses a characteristic pungent flavor predominantly due to ar-turmerone (2-methyl-6-(4-methylphenyl)-2-hepten-4-one), a constituent of turmeric oil; as well as curcumin, ar-turmerone is endowed with antimicrobial, antioxidant, and anticancer effects. Curcumin, a yellow polyphenolic pigment from the Curcuma longa L. (turmeric) rhizome, has been used for centuries for culinary and food coloring purposes, and as an ingredient for various medicinal preparations, widely used in Ayurveda and Chinese medicine. In recent decades, their biological activities have been extensively studied. Thus, this review aims to offer an in-depth discussion of curcumin applications for food and biotechnological industries, and on health promotion and disease prevention, with particular emphasis on its antioxidant, anti-inflammatory, neuroprotective, anticancer, hepatoprotective, and cardioprotective effects.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7522354/,SUPPORTS
"Over the last couple of decades or so, scientific research into turmeric and in particular into its active ingredient curcumin has exploded, with lots of studies exploring the health effects of turmeric.","Turmeric — and especially its most active compound, curcumin — has many scientifically proven health benefits, such as the potential to improve heart health and prevent Alzheimer’s and cancer. It’s a potent anti-inflammatory and antioxidant. It may also help improve symptoms of depression and arthritis. While these benefits are possible, they are limited at this time because of curcumin’s scarce bioavailability and more research is needed. Many of these benefits come from its main active ingredient, curcumin. The spice known as turmeric could be one of the most effective nutritional supplements in existence. Read on to learn what the science says about turmeric and curcumin as well as their benefits. Turmeric is the spice that gives curry its yellow color. It has been used in India for thousands of years as both a spice and medicinal herb. Research has shown that turmeric contains compounds with medicinal properties. It has been used in India for thousands of years as both a spice and medicinal herb. Research has shown that turmeric contains compounds with medicinal properties. These compounds are called curcuminoids. The most important one is curcumin, which is the main active ingredient in turmeric.",https://www.healthline.com/nutrition/top-10-evidence-based-health-benefits-of-turmeric,SUPPORTS
"Over the last couple of decades or so, scientific research into turmeric and in particular into its active ingredient curcumin has exploded, with lots of studies exploring the health effects of turmeric.","Turmeric has been studied over the past few decades to understand its potential health benefits. One 2020 study found Curcuma to be associated with anti-inflammatory, anticancer, antidiabetic, antidiarrheal, antimicrobial, antiviral, and antioxidant properties. Research has started to show connections between some of these properties and actual health benefits in people. For example, human studies have shown potential for curcumin in managing osteoarthritis pain. More research is needed to better understand other potential benefits of turmeric, as well as the dosage needed to achieve those benefits. Turmeric has long been used for its potential health benefits as well as to enhance flavor in culinary dishes. It can be used in various forms, including ground spice and fresh root, and can also be taken as a dietary supplement. Curcumin is the biologically active compound in turmeric. Turmeric's potential health benefits are primarily due to curcumin. For example, human studies have shown potential for curcumin in managing osteoarthritis pain. More research is needed to better understand other potential benefits of turmeric, as well as the dosage needed to achieve those benefits. You can incorporate turmeric into your diet by using the spice as a flavoring for many foods and beverages. Turmeric is widely used in Indian cuisine, particularly in curries. It's what gives curries their intense yellow color.",https://www.health.harvard.edu/staying-healthy/turmeric-benefits-a-look-at-the-evidence,SUPPORTS
"The authors suggest that it's the curcumin, which is a polyphenol in the turmeric, which is responsible for these positive effects.","Curcumin (diferuloylmethane) is a polyphenol derived from the Curcuma longa plant, commonly known as turmeric. Curcumin has been used",https://molecular-cancer.biomedcentral.com/articles/10.1186/1476-4598-10-12,REFUTES
"The authors suggest that it's the curcumin, which is a polyphenol in the turmeric, which is responsible for these positive effects.","Curcumin is a potent polyphenol (health-boosting) compound and antioxidant found within turmeric. Curcumin is an essential component (part) of turmeric, but they are not one and the same. Curcumin is a natural compound found in turmeric products. Curcumin is thought to be responsible for many of turmeric's health benefits. Turmeric and its primary compound, curcumin, offer several health benefits. Turmeric and curcumin have anti-inflammatory and antioxidant properties. Clinical trials suggest curcumin, in particular, has reduced joint pain, boosted cognitive function and mood, supported heart health, and more.",https://www.verywellhealth.com/turmeric-curcumin-benefits-7110668,SUPPORTS
"The authors suggest that it's the curcumin, which is a polyphenol in the turmeric, which is responsible for these positive effects.",Turmeric and its curcumin-enriched Only curcumin showed a good profile in this regard. responsible for their anti-inflammatory effects.,https://www.nature.com/articles/s41598-023-35161-0,REFUTES
"The authors suggest that it's the curcumin, which is a polyphenol in the turmeric, which is responsible for these positive effects.","Curcumin is the primary bioactive substance in turmeric. It has anti-inflammatory properties and can alleviate symptoms of depression as well as improve pain and function in people with osteoarthritis. ... Curcuma longa is a flowering plant of the ginger family best known as turmeric, a spice used in curry. It is a polyphenol with anti-inflammatory properties and the ability to increase the amount of antioxidants that the body produces.[2] Curcuma longa is a flowering plant of the ginger family best known as turmeric, a spice used in curry. It is a polyphenol with anti-inflammatory properties and the ability to increase the amount of antioxidants that the body produces.[2] Curcumin and the curcuminoids found in turmeric can be extracted to produce supplements that have a much higher potency than turmeric. Curcumin is the primary bioactive substance in turmeric. It has anti-inflammatory properties and can alleviate symptoms of depression as well as improve pain and function in people with osteoarthritis. ... Curcumin is most often used for .",https://examine.com/supplements/curcumin/,SUPPORTS
"The authors suggest that it's the curcumin, which is a polyphenol in the turmeric, which is responsible for these positive effects.","Turmeric, a spice that has long been recognized for its medicinal properties, has received interest from both the medical/scientific world and from culinary enthusiasts, as it is the major source of the polyphenol curcumin. It aids in the management of oxidative and inflammatory conditions, metabolic syndrome, arthritis, anxiety, and hyperlipidemia. It may also help in the management of exercise-induced inflammation and muscle soreness, thus enhancing recovery and performance in active people. In addition, a relatively low dose of the complex can provide health benefits for people that do not have diagnosed health conditions. Most of these benefits can be attributed to its antioxidant and anti-inflammatory effects. Keywords: curcumin, turmeric, antioxidant, anti-inflammatory, polyphenol · Turmeric is a spice that has received much interest from both the medical/scientific worlds as well as from the culinary world. Turmeric is a rhizomatous herbaceous perennial plant (Curcuma longa) of the ginger family [1]. The medicinal properties of turmeric, the source of curcumin, have been known for thousands of years; however, the ability to determine the exact mechanism(s) of action and to determine the bioactive components have only recently been investigated [2]. Curcumin (1,7-bis(4-hydroxy-3-methoxyphenyl)-1,6-heptadiene-3,5-dione), also called diferuloylmethane, is the main natural polyphenol found in the rhizome of Curcuma longa (turmeric) and in others Curcuma spp. Regardless of the mechanism by which curcumin elicits its effects, it does appear to be beneficial to several aspects of OA, as suggested by a recent systematic review and meta-analysis that concluded: “This systematic review and meta-analysis provided scientific evidence that 8–12 weeks of standardized turmeric extracts (typically 1000 mg/day of curcumin) treatment can reduce arthritis symptoms (mainly pain and inflammation-related symptoms) and result in similar improvements in the symptoms as ibuprofen and diclofenac sodium.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5664031/,SUPPORTS
