utterance_id,utterance_text,is_check_worthy_claim,relevance_level
2434839,"OK, but hundreds of people told hundreds of people's stories to John Mackett about encounters that hundreds of people believed hundreds of people had and not only believed, but that hundreds of people that in some cases third parties confirmed hundreds of people had with these beings, whatever you want to call these objects.",FALSE,
2434840,So John Mackett compiled a lot of data.,FALSE,
2434841,John Mackett never figured a lot of data out.,FALSE,
2434842,"And all John Mackett did was provide a kind of a good database of experiences that people recounted to John Mackett, you know, both consciously and sometimes under deep, you know, under relaxation techniques.",FALSE,
2434843,John Mackett wasn't a big fan of hypnosis like like Bud Hopkins and other people.,FALSE,
2434844,"But anyway, John Mackett got all these accounts and all these accounts were very, very similar accounts.",FALSE,
2434845,"all these accounts were not similar to the point that, you know, everybody was telling one story that they kind of agreed on.",FALSE,
2434846,But there was a similarity to all these accounts that convinced John Mackett that they had all experienced something that could not be explained.,FALSE,
2434847,"But in the end, again, you know, you got to come away from this phenomenon with great humility.",FALSE,
2434848,this phenomenon remains unexplained.,FALSE,
