check_worthy_claim,evidence_snippet,article_url,stance
"So in particular, nuts can decrease our bad LDL cholesterol, and they can also decrease our blood triglyceride concentrations.","A variety of nuts may lower low-density lipoproteins (LDL), or “bad” cholesterol, while raising high-density lipoproteins (HDL), or “good” cholesterol. However, not all nuts have the same effect on a person’s cholesterol levels. However, a small 2003 study indicated that macadamia nut consumption could lower LDL levels by around · 5.3% while increasing HDL levels by 7.9% among men with elevated cholesterol levels. ... USDA supplies the following nutritional data for 100 g of raw macadamia nuts. USDA provides the following nutritional data for 100 g of dried, unblanched Brazil nuts. ... 2018 study indicated that people may lower their LDL cholesterol levels by consuming a high pecan diet. However, the authors concluded that further research is necessary.",https://www.medicalnewstoday.com/articles/best-nuts-to-lower-cholesterol,SUPPORTS
"So in particular, nuts can decrease our bad LDL cholesterol, and they can also decrease our blood triglyceride concentrations.","Joan Sabaté, LLU Professor of Nutrition & Epidemiology: “The walnut diet lowered much more the cholesterol particularly the LDL-cholesterol that is considered the bad cholesterol without changes in the good cholesterol, the HDL cholesterol.” · DR. REEVES: Nuts are rich in unsaturated fat— a healthy type of fat that our bodies need to reduce LDLs, the bad cholesterol in our blood. In addition, walnuts have high levels of omega-3 fatty acids. Omega-3s help lower levels of triglycerides, a type of fat in the bloodstream. Omega-3s help lower levels of triglycerides, a type of fat in the bloodstream. But nuts are also loaded with protein. Percent wise and quantity wise it is even greater than the protein that is in meat or in many other animal products. Besides fat and protein, nuts have many other micronutrients such as minerals, vitamins. Dr. Joan Sabaté, LLU Professor of Nutrition & Epidemiology · KELIKANI: For more than 20 years, Dr. Sabaté has been studying the effect of nuts on our health and summarized that one to two servings of nuts a day lowers cholesterol by 10 percent. How Nuts Can Reduce your Levels of Cholesterol With heart disease being the number one killer in the United States, researchers at Loma Linda University Health advise us to go nuts with our health. Patricia Kelikani Patricia Kelikani, Health Journalist (Co-host): When it comes to your health, it’s okay to go a little nuts.",https://lluh.org/patients-visitors/health-wellness/live-it/online-health-show/episode-1-nuts,SUPPORTS
"So in particular, nuts can decrease our bad LDL cholesterol, and they can also decrease our blood triglyceride concentrations.","A consistent beneficial effect of most nuts, namely total nuts and tree nuts, including walnuts, almonds, cashews, peanuts, and pistachios, has been reported across meta-analyses in decreasing total cholesterol (mean difference, MD, -0.09 to -0.28 mmol/L), LDL-cholesterol (MD, -0.09 to -0.26 mmol/L), and triglycerides (MD, -0.05 to -0.17 mmol/L). However, no effects on HDL-cholesterol have been uncovered. Preliminary evidence indicates that adding nuts into the regular diet reduces blood levels of apolipoprotein B and improves HDL function. There is also evidence that nuts dose-dependently improve lipids and lipoproteins. Sex, age, or nut processing are not effect modifiers, while a lower BMI and higher baseline lipid concentrations enhance blood lipid/lipoprotein responses. Sex, age, or nut processing are not effect modifiers, while a lower BMI and higher baseline lipid concentrations enhance blood lipid/lipoprotein responses. While research is still emerging, the evidence thus far indicates that nut-enriched diets are associated with a reduced number of total LDL particles and small, dense LDL particles. In conclusion, evidence from clinical trials has shown that the consumption of total and specific nuts improves blood lipid profiles by multiple mechanisms. A plain arrow indicates a strong level of evidence to support the effect, whereas a dashed arrow indicates a lower level of evidence. LDL, low density lipoprotein; HDL, high density lipoprotein. ... Effects of tree nuts on blood lipids, apolipoproteins, and blood pressure: systematic review, meta-analysis, and dose-response of 61 controlled intervention trials.",https://pubmed.ncbi.nlm.nih.gov/36771303/,SUPPORTS
"So in particular, nuts can decrease our bad LDL cholesterol, and they can also decrease our blood triglyceride concentrations.","A 2023 systematic review and meta-analysis of randomized controlled studies also found a significant decrease in LDL, total cholesterol, and triglycerides after nut consumption. LDL is a “bad” cholesterol because it clogs up your arteries. This is why high LDL levels increase a person's risk of heart attacks and strokes. HDL, on the other hand, is your ""good"" cholesterol because it carries ""bad"" cholesterol away from the arteries to the liver. Lower HDL levels are linked to heart disease, whereas higher HDL levels may actually help prevent heart attacks and strokes. Nuts may provide other heart and overall health advantages. A 2023 review of studies found that nut consumption is associated with decreased low-density lipoprotein (LDL) and total cholesterol, with no significant effect on high-density lipoprotein (HDL). A 2023 systematic review and meta-analysis of randomized controlled studies also found a significant decrease in LDL, total cholesterol, and triglycerides after nut consumption. This is why high LDL levels increase a person's risk of heart attacks and strokes. HDL, on the other hand, is your ""good"" cholesterol because it carries ""bad"" cholesterol away from the arteries to the liver. Lower HDL levels are linked to heart disease, whereas higher HDL levels may actually help prevent heart attacks and strokes. Nuts may provide other heart and overall health advantages. Nut consumption is associated with a reduced waist circumference, which is a predictor of how much fat surrounds the organs in your abdomen.",https://www.verywellhealth.com/which-healthy-nuts-can-lower-cholesterol-697716,SUPPORTS
"Now, in addition, nuts also contain bioactives.","Nuts (tree nuts and peanuts) are nutrient dense foods with complex matrices rich in unsaturated fatty and other bioactive compounds: high-quality vegetable protein, fiber, minerals, tocopherols, phytosterols, and phenolic compounds. By virtue of their unique composition, nuts are likely to beneficially impact health outcomes. Nuts are also rich sources of other bioactive macronutrients that have the potential to beneficially affect metabolic and cardiovascular outcomes. They are an excellent source of protein (approximately 25% of energy) and often have a high content of L-arginine [5]. As this amino acid is the precursor of the endogenous vasodilator, nitric oxide (NO) [29], nut intake might help improve vascular reactivity, as discussed below. Some bioactive constituents of nuts, such as tocopherols, phytosterols, folic acid, selenium, and magnesium, are purported to have antioxidant, antiinflammatory or anticarcinogenetic properties [24], a reason why a protective effect of nut consumption on cancer risk might be hypothesized [56]. Old epidemiological evidence of the role of nut consumption on cancer incidence was inconclusive [57,58,59]. More recent reports support a preventive role, although limited to women [56,57,58,59]. A small case-control study in Greek women [60] suggests that a diet rich in nuts, seeds and pulses reduces the risk of endometrial cancer by 27% compared to infrequent consumption of such foods.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3257681/,SUPPORTS
"Now, in addition, nuts also contain bioactives.","nuts at all, and that also includes nut butters. To put that in Now, In addition, nuts also contain bioactives, and these are tiny",https://zoe.com/learn/podcast-nuts,SUPPORTS
"Now, in addition, nuts also contain bioactives.","The levels of phytochemicals (total phenols, proanthocyanidins, gallic acid + gallotannins, ellagic acid + ellagitannins, flavonoids, phenolic acids, stilbenes and phytates), fat-soluble bioactives (lipid, tocols, phytosterols, sphingolipids, carotenoids, chlorophylls and alkyl phenols) as well as natural antioxidants (nutrient and non-nutrient) present in commonly consumed twelve nuts (almond, Brazil nut, cashew, chestnut, hazelnut, heartnut, macadamia, peanut, pecan, pine nut, pistachio and walnut) are compared and reported. Recent studies adding new evidence for the health benefits of nuts are also discussed. Recent studies adding new evidence for the health benefits of nuts are also discussed. Research findings from over 112 references, many of which have been published within last 10 years, have been compiled and reported. Keywords: Antioxidant activity; Bioactives; Health effects; Natural antioxidants; Nuts; Phytochemicals. Br J Nutr. 2015 Apr. ... Add to Search . 2015 Apr:113 Suppl 2:S68-78. doi: 10.1017/S0007114514003729. ... The levels of phytochemicals (total phenols, proanthocyanidins, gallic acid + gallotannins, ellagic acid + ellagitannins, flavonoids, phenolic acids, stilbenes and phytates), fat-soluble bioactives (lipid, tocols, phytosterols, sphingolipids, carotenoids, chlorophylls and alkyl phenols) as well as natural antioxidants (nutrient and non-nutrient) present in commonly consumed twelve nuts (almond, Brazil nut, cashew, chestnut, hazelnut, heartnut, macadamia, peanut, pecan, pine nut, pistachio and walnut) are compared and reported.",https://pubmed.ncbi.nlm.nih.gov/26148924/,SUPPORTS
"Now, in addition, nuts also contain bioactives.","Nuts are a good source of many bioactive compounds with recognized health benefits, such as tocopherols, vitamins, and phenolic compounds. However, acquiring knowledge about the variation of bioactive compounds during fruit development and the ripening stage is crucial. Chestnuts are featured with low-fat content and compared to other nuts, such as hazelnut, macadamia, pecan, or almond, chestnuts, exhibit the lowest fat content [73]. However, in this minor chestnut fraction, fat-soluble bioactive compounds, such as tocols and phytosterols, are present in higher quantities when compared to fat-rich nuts.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10000569/,SUPPORTS
"Now, in addition, nuts also contain bioactives.","Nuts, which contain phytochemicals, fat-soluble bioactives, minor components as well as nutrient and non-nutrient antioxidants beyond their basic nutritional functions, offer an excellent choice for heart-healthy snack food and food additive. Nuts should be consumed with their skin (pellicles), whenever possible, because of their high phytochemical content as well as antioxidant activity. The present report provides a detailed and up to date summary and scientific review of the available data on nut antioxidant components and health. The authors’ contributions are as follows: C. A. contributed introduction, fat-soluble bioactives in nuts, natural antioxidants in nuts and conclusions; B. W. B. contributed introduction, phytochemicals in nuts, health benefits of nuts and conclusions. The levels of phytochemicals (total phenols, proanthocyanidins, gallic acid+gallotannins, ellagic acid+ellagitannins, flavonoids, phenolic acids, stilbenes and phytates), fat-soluble bioactives (lipid, tocols, phytosterols, sphingolipids, carotenoids, chlorophylls and alkyl phenols) as well as natural antioxidants (nutrient and non-nutrient) present in commonly consumed twelve nuts (almond, Brazil nut, cashew, chestnut, hazelnut, heartnut, macadamia, peanut, pecan, pine nut, pistachio and walnut) are compared and reported. Fig. 2 Structures of some fat-soluble bioactives present in nuts. ... Hoffman, Richard and Gerber, Mariette 2015. Food Processing and the Mediterranean Diet. Nutrients, Vol. 7, Issue. 9, p. 7925.",https://www.cambridge.org/core/journals/british-journal-of-nutrition/article/review-of-nut-phytochemicals-fatsoluble-bioactives-antioxidant-components-and-health-effects/DFB0B78FA7CC0345EE937F9100B920DD,SUPPORTS
And polyphenols are thought to protect your cells from damage that are caused by free radicals.,"They make sure the plant can absorb the sunlight it needs to grow, and they protect the plant from disease. When you eat polyphenol-rich plants, those same polyphenols that kept the plant healthy do similar good for your body. Polyphenols have two main benefits for your body: They’re antioxidants and anti-inflammatory. As an antioxidant, polyphenols help fight free radicals (unstable molecules) in your body. That’s important because a buildup of free radicals damages your cells. That’s important because a buildup of free radicals damages your cells. That damage is called oxidative stress, and it can lead to a range of health conditions, like: ... Heart disease. Aging skin. Polyphenols are also anti-inflammatory. Anyone who’s ever stubbed their toe knows a bit about inflammation — that’s the swelling and pain that signals your body going into “repair mode.” But inflammation can happen even when you’re not sick or injured. That damage is called oxidative stress, and it can lead to a range of health conditions, like: ... Heart disease. Aging skin. Polyphenols are also anti-inflammatory. Anyone who’s ever stubbed their toe knows a bit about inflammation — that’s the swelling and pain that signals your body going into “repair mode.” But inflammation can happen even when you’re not sick or injured. When your body sends out inflammatory cells when they’re not needed, it can lead to chronic conditions, like arthritis and Alzheimer’s disease.",https://health.clevelandclinic.org/polyphenols,SUPPORTS
And polyphenols are thought to protect your cells from damage that are caused by free radicals.,"Studies show that polyphenols are powerful antioxidants. In this role, they prevent or reverse damage in your cells caused by aging, the environment, and your lifestyle. Over time, this damage is linked to an increased risk of many chronic diseases. In this role, they prevent or reverse damage in your cells caused by aging, the environment, and your lifestyle. Over time, this damage is linked to an increased risk of many chronic diseases. A lack of polyphenols isn’t associated with specific side effects. Studies show that polyphenols may even block tumor growth and kill active cancer cells. ... Research shows that polyphenols can activate your immune system to fight off infection and disease. Polyphenols also promote good bacteria growth in your gut and limit harmful bacteria.",https://www.webmd.com/diet/foods-high-in-polyphenols/,SUPPORTS
And polyphenols are thought to protect your cells from damage that are caused by free radicals.,"Evidence suggests that polyphenols inhibit pro-inflammatory transcription factors by interacting with proteins involved in gene expression and cell signaling, leading to protective effects against many inflammation-mediated chronic diseases (55). Polyphenols hypothesized to be anti-carcinogenic are thought to arrest cellular growth by inducing cell senescence or apoptotic cell death, and their differential redox status may selectively affect tumor cells (14). The mechanisms of these benefits vary based on the polyphenolic compound, but include protection of pancreatic beta cells from oxidation, anti-inflammatory and antioxidant action, decreased starch digestion due to the suppression of enzyme activity, and the inhibition of advanced glycation end product formation (28). A number of studies have shown improved fasting glucose levels, and improved glucose tolerance and insulin sensitivity, with the consumption of foods containing anthocyanins (56). Some polyphenols may also protect against neurodegenerative diseases, including Alzheimer's, Parkinson's, and Huntington's diseases. There is also evidence of an additional mechanism by which polyphenols protect against oxidative stress by producing hydrogen peroxide (H202), which can then help to regulate immune response actions, like cellular growth (35, 36). Yet, the majority of evidence comes from in vitro models and it is unclear if these mechanisms hold true in humans (37–40). Furthermore, recent evidence has elucidated the effect of absorption pharmacokinetics on efficacy of polyphenols as antioxidants and other potentially health-promoting mechanisms; these physiochemical properties of the molecules may explain the variable effects observed in human and animal models, as well as conflicting data in the literature (41–45).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6160559/,SUPPORTS
And polyphenols are thought to protect your cells from damage that are caused by free radicals.,"Many of the health benefits associated with polyphenols may be related to their role as antioxidants. Antioxidants are known for their ability to combat cell damage. Antioxidants are known for their ability to combat cell damage. Polyphenols may also impact genes and gene expression. A person’s specific genes can also affect how their body responds to certain types of polyphenols. Polyphenols may even influence gut bacteria. Polyphenols are compounds found in plants, including flavonoids and phenolic acid, that greatly benefit the human body and help fight disease. This MNT Knowledge Center article explains the benefits of polyphenols and which foods contain them. It also looks at the possible risks and considerations for these chemicals.",https://www.medicalnewstoday.com/articles/319728,SUPPORTS
And polyphenols are thought to protect your cells from damage that are caused by free radicals.,"Most of the health benefits of polyphenols relate to their role as an antioxidant. Antioxidants help protect cells from damage caused by free radicals. Free radicals are highly reactive oxygen molecules produced by normal cell processes, radiation, air pollution, smoking, or chemical exposure. Polyphenols act as antioxidants in the body. This means they help protect the body and neutralize free radicals that cause damage to cells. Since antioxidants help prevent cell damage, it’s believed polyphenols may lower the chances of cells mutating from damage and becoming cancerous. Polyphenols like flavonoids may help control tumor cell growth and signal cell death to remove cancerous cells (apoptotic factors).",https://www.verywellhealth.com/polyphenols-5217399,SUPPORTS
This is great because we know that oxidised LDL cholesterol can build up in the walls of your arteries.,"Not only does oxidized LDL help clog up your arteries, it may make them stiffer as well, says Dr. Oen-Hsiao, which can lead to heart failure. “Oxidized LDL also inhibits the production of nitric oxide, which is a molecule that usually helps to relax blood vessels,” she says. LDL molecules come into contact with cellular byproducts called reactive oxygen species, unstable oxygen molecules also known as free radicals, which damage and modify the LDL. According to a study in Indian Journal of Clinical Biochemistry, the oxidation process activates cells on the artery walls called adhesion cells, to which these modified—oxidized—LDL molecules bind, eventually building up into plaque. Per Harvard Health, once the LDL is inside the artery lining, the chemical transformation called oxidation occurs. Oxidation is a complex, multistep process, but part of it—greatly simplified—goes like this:",https://www.healthcentral.com/condition/high-cholesterol/oxidized-cholesterol,SUPPORTS
This is great because we know that oxidised LDL cholesterol can build up in the walls of your arteries.,This is great because we. Oxidized LDL cholesterol can build up in the walls of your arteries. It can cause them to become thicker and,https://zoe.com/learn/podcast-nuts,SUPPORTS
This is great because we know that oxidised LDL cholesterol can build up in the walls of your arteries.,"Cholesterol oxidation derivatives and endothelial damage. Atherosclerosis.1985; 54:121–125.CrossrefMedlineGoogle Scholar · 54 Colles SM, Irwin KC, Chisolm GM. Roles of multiple oxidized LDL lipids in cellular injury: dominance of 7β-hydroperoxycholesterol. The results of the current study thus demonstrate that oxidized cholesterol in the diet accelerates fatty streak lesion formation in both LDLR- and apo E–deficient mice. There is compelling evidence that oxidized lipoproteins are atherogenic and play a key role in the pathogenesis of coronary heart disease.12 This hypothesis is supported by extensive in vitro and in vivo studies demonstrating that dietary antioxidants reduce lesion formation in experimental animal models.345 Oxidized lipoproteins have also been identified in atherosclerotic lesions in animals and humans.67 The origin of oxidized lipoproteins in vivo is not clear, since the site and mechanism whereby lipoproteins are oxidized have not been resolved. Abstract—The aim of the current study was to determine whether oxidized cholesterol in the diet accelerates atherosclerosis in low density lipoprotein receptor– (LDLR) and apolipoprotein E– (apo E) deficient mice. Mice were fed either a control diet or a diet containing oxidized cholesterol.",https://www.ahajournals.org/doi/full/10.1161/01.ATV.20.3.708,SUPPORTS
This is great because we know that oxidised LDL cholesterol can build up in the walls of your arteries.,"According to Meyer, the medical research community has traditionally believed that oxidized LDL plays a pivotal role in that process. ""Oxidized LDL moves rapidly into arterial walls and engorges them with cholesterol,"" Meyer said. ""Cholesterol ultimately converts into plaque, blocking the arteries or, in a worst case scenario, rupturing and sending clots into the bloodstream, causing heart attacks and/or strokes."" A team of investigators has made a thought-provoking discovery about a type of cholesterol previously believed to be a ""bad guy"" in the development of heart disease and other conditions. Jason Meyer, a University of Kentucky M.D.-Ph.D. candidate, worked with Deneys van der Westhuyzen, a professor in the departments of Internal Medicine and Molecular and Cellular Biochemistry, to study the role oxidized LDL plays in the development of plaque inside artery walls. A team of investigators has made a thought-provoking discovery about a type of cholesterol previously believed to be a 'bad guy' in the development of heart disease and other conditions. ""Based on our analysis, we were surprised to find that, instead of increasing the amount of cholesterol uptake and accumulation in the macrophage foam cells, mildly oxidized LDL almost completely prevents increases in cholesterol,"" a researcher said.",https://www.sciencedaily.com/releases/2014/09/140904121247.htm,SUPPORTS
This is great because we know that oxidised LDL cholesterol can build up in the walls of your arteries.,"High LDL cholesterol over time can damage your arteries, contribute to heart disease, and increase your risk for a stroke. Getting your cholesterol checked at regular doctor visits and lowering your heart disease risk with diet, exercise, lifestyle changes, and medication can help decrease complications associated with heart disease and improve quality of life. When you have too much LDL cholesterol in your body it can build up in your arteries, clogging them and making them less flexible. When you have too much LDL cholesterol in your body it can build up in your arteries, clogging them and making them less flexible. Hardening of the arteries is called atherosclerosis. Blood doesn’t flow as well through stiff arteries, so your heart has to work harder to push blood through them. Yet having too much LDL cholesterol can be a problem. High LDL cholesterol over time can damage your arteries, contribute to heart disease, and increase your risk for a stroke. Getting your cholesterol checked at regular doctor visits and lowering your heart disease risk with diet, exercise, lifestyle changes, and medication can help decrease complications associated with heart disease and improve quality of life.",https://www.healthline.com/health/high-cholesterol/effects-on-body,SUPPORTS
"oxidised LDL cholesterol can cause your arteries to become thicker and to stiffen, reducing just how much blood can actually get through your arteries, which can lead to atherosclerosis, which is the first step towards heart disease and strokes.","Oxidized LDL can lead to inflammation in the arteries and eventually atherosclerosis, which is linked to other serious health concerns. Oxidized LDL is increasingly recognized as a contributor to heart disease, vascular disease, and stroke. If you’ve been diagnosed with elevated or high cholesterol, taking steps to eat healthier, exercise more, and to stop smoking can help. Oxidized cholesterol forms in the body when LDL goes through a chemical reaction. Oxidized LDL can build up on the artery walls due to eating certain foods high in trans fats. Smoking tobacco products is also linked to high levels of oxidized LDL. Oxidized LDL can lead to inflammation in the arteries and eventually atherosclerosis, which is linked to other serious health concerns. Oxidized LDL is increasingly recognized as a contributor to heart disease, vascular disease, and stroke. Oxidized cholesterol is made in the body when low-density lipoprotein (LDL), sometimes called “bad” cholesterol, goes through a chemical reaction. Oxidized cholesterol is what builds up on the artery walls, the muscular tubes that carry blood away from the heart. Too much oxidized cholesterol can lead to atherosclerosis, or hardening of the arteries. The resulting decrease in blood flow in your arteries raises your risk for heart attack and stroke.",https://www.verywellhealth.com/what-is-oxidized-ldl-698079,SUPPORTS
